Items,A0,A1,A2,A3
11543,44,5,1,0
28997,7,0,0,0
11541,1,1,0,0
11547,4,0,2,0
28993,2,0,0,0
28992,102,1,4,0
11549,5,0,0,0
25605,7,0,0,0
19396,1,0,0,0
5980,1,0,0,0
19394,66,8,0,0
5987,10,1,0,0
28566,1,0,0,0
22261,1,0,0,0
22260,1,0,0,0
22266,22,0,0,0
22269,13,2,0,0
22268,2,0,1,0
25060,10,0,0,0
25066,1,0,0,0
6796,6,0,0,0
27371,103,0,1,0
27372,1,0,0,0
27373,8,0,0,0
6792,18,0,0,0
27375,1,0,0,0
6798,3,0,0,0
6799,1,0,0,0
25289,19,2,0,0
25280,2,0,0,0
19973,227,8,1,0
16252,1,0,0,0
19970,6,0,0,0
16708,6,0,0,0
16255,1,0,0,0
19974,113,10,1,0
16705,9,0,0,0
279,1,0,0,0
16258,2,0,0,0
16700,5,0,0,0
22484,139,18,1,0
12018,0,4,0,0
22482,31,4,0,0
12017,19,0,0,0
12016,9,0,0,0
22489,93,3,0,0
22488,1,0,0,0
12013,4,1,0,0
12012,1,0,0,0
26394,43,5,1,0
26392,1,0,0,0
17254,2,0,0,0
9258,5,0,0,0
10703,5,0,0,0
10702,93,14,0,0
9255,1,0,0,0
9252,10,0,0,0
10706,6,0,0,0
9522,14,2,0,0
24883,2,0,0,0
24880,1,0,0,0
24887,13,3,0,0
24886,48,5,1,0
21611,9,0,0,0
21610,2,0,0,0
26575,2,0,0,0
26027,4,0,0,0
26025,1,0,0,0
26028,1,0,0,0
1213,1,0,0,0
22875,1,0,0,0
24088,14,2,0,0
24083,3,1,0,0
24081,48,3,0,0
24087,27,1,1,0
22879,1,0,0,0
24084,1,0,0,0
23774,53,10,0,0
3513,2,0,0,0
3510,12,0,0,0
3516,1,0,0,0
3515,12,4,4,0
3514,4,0,0,0
2689,2,0,0,0
2684,7,0,0,0
2685,7,1,0,0
2680,1,0,0,0
2683,1106,86,0,0
14624,2,0,0,0
14625,16,2,0,0
14626,8,1,0,0
14623,24,0,0,0
25528,1,0,0,0
91,3,0,0,0
90,3,0,0,0
13059,5,0,0,0
13050,1,0,0,0
13054,16,2,0,0
13055,1,0,0,0
8879,1,0,0,0
18706,1,0,0,0
17829,4,0,1,0
17826,1,0,0,0
17824,4,0,0,0
17823,43,3,0,0
17822,2,0,0,0
17820,4,0,0,0
519,5,1,1,0
27572,3,0,0,0
20253,8,1,0,0
20256,6,1,0,0
27577,1,0,0,0
20255,2,0,0,0
1173,1,0,0,0
1170,6,0,0,0
23507,1,0,0,0
23506,3,0,0,0
23057,1,0,0,0
23056,1,0,0,0
23503,1,0,0,0
1179,1,0,0,0
24252,1,0,0,0
22958,18,0,0,0
27618,13,2,0,0
27615,38,3,1,0
27614,1,0,0,0
29389,6,1,0,0
7188,12,0,0,0
22953,2,0,0,0
29100,7,0,0,0
29103,12,0,0,0
7183,3,0,0,0
7184,21,0,0,0
29104,5,0,0,0
7186,18,1,0,0
22950,42,4,4,0
12837,2,0,0,0
12836,3,0,0,0
12834,1,0,0,0
871,7,0,0,0
15281,1,0,0,0
8540,2,0,0,0
15283,2,0,0,0
8010,12,0,0,0
7456,25,2,0,0
26624,2,0,0,0
26623,4,0,0,0
26629,1,0,0,0
7458,3,0,0,0
7459,2,0,0,0
28386,1,0,0,0
27370,2,0,0,0
628,4,0,0,0
6797,2,0,0,0
4595,18,1,0,0
23120,4,1,0,0
10885,1,0,0,0
10880,1,0,0,0
28382,31,0,0,0
10882,5,0,0,0
22679,2,0,0,0
4736,5,0,0,0
1228,40,0,0,0
22672,3,0,0,0
4846,34,2,0,0
6793,2,0,0,0
16884,3,1,0,0
2318,1,0,0,0
26568,3,1,0,0
26564,16,0,0,0
4735,2,0,0,0
26563,8,0,1,0
26561,23,0,0,0
24704,49,3,0,0
24706,1,0,0,0
21471,1,0,0,0
6531,3,0,0,0
22018,5,0,0,0
397,5,0,0,0
396,4,0,0,0
395,4,0,0,0
22012,3,0,0,0
399,1,0,0,0
398,46,4,0,0
22016,34,0,1,0
22017,1,0,0,0
2308,2,0,0,0
13618,3,0,0,0
4728,0,0,1,0
13616,1,0,0,0
27722,1,0,0,0
5847,1,0,0,0
5845,107,4,1,0
16067,5,1,0,0
5843,7,0,1,0
27721,3,0,0,0
19702,58,2,0,0
11280,133,4,1,0
5848,146,10,1,1
17620,1,0,0,0
17626,3,0,0,0
17629,4,1,0,0
3745,2,0,0,0
3740,175,5,1,0
4620,2,0,0,0
4621,1,0,0,0
4625,5,0,0,0
13537,3,0,0,0
13539,8,0,0,0
28256,8,1,0,0
25248,2,1,0,0
5201,1,0,0,0
11755,2,0,0,0
11752,1,0,0,0
29266,2,0,0,0
11759,4,0,0,0
11758,1,0,0,0
16393,1,0,0,0
16390,7,0,0,0
29267,1,0,0,0
16396,22,1,1,0
16397,2,0,0,0
16395,14,0,0,0
1310,3,0,0,0
16399,9,0,0,0
14536,2,1,0,0
10463,1,0,0,0
17654,4,0,0,0
20884,1,0,0,0
20736,12,0,0,0
16373,18,1,0,0
25545,1,0,0,0
25544,2,0,0,0
25547,1,0,0,0
25540,8,0,0,0
179,3,0,0,0
178,54,3,0,0
13285,11,1,0,0
174,5,0,0,0
13281,6,0,0,0
170,48,0,0,0
24510,1,0,0,0
17541,1,0,0,0
3774,17,1,0,0
21930,48,8,0,0
21931,2,0,0,0
21934,1,0,0,0
21935,1,0,0,0
21936,20,2,0,0
21938,1,0,0,0
21288,1,0,0,0
2657,1,0,0,0
20089,1,0,0,0
20083,43,0,2,0
10390,12,0,0,0
10393,1,1,0,0
10395,9,0,1,0
16936,6,0,0,0
270,1,0,0,0
7211,1,0,0,0
17388,2,0,0,0
16939,156,11,1,0
6215,5,0,0,0
17389,29,12,0,0
6213,1,0,0,0
12223,1,0,0,0
12220,1650,19,10,3
6210,2,0,0,0
6219,10,1,0,0
6218,1,0,0,0
15879,6,0,0,0
15874,102,1,0,0
15875,4,0,0,0
6815,8,0,0,0
6817,10,0,0,0
278,1,0,0,0
29371,1,0,0,0
29377,14,0,0,0
29374,2,0,0,0
29375,2,1,0,0
207,13,1,0,0
10577,4,0,0,0
10570,25,3,0,0
21426,19,0,0,0
21427,8,1,0,0
18936,3,0,0,0
18937,14,2,0,0
