uid			1/[all]
10944750	0/52	1/72	3/61	2/40
12028500	0/6	0/0	2/34	11/127
1206500	0/0	0/2	0/0	0/1
12154500	9/233	17/362	12/196	0/174
1620500	2/12	1/5	0/6	7/75
4716750	0/5	11/83	0/0	5/51
4844000	5/153	3/61	1/19	3/95
5654000	6/81	1/28	2/33	3/43
5735000	0/31	0/57	0/16	0/27
5780000	48/488	15/122	11/327	9/227
6061250	3/70	9/97	2/134	0/99
6458500	0/0	5/45	0/0	0/0
7860250	0/0	0/0	0/1	0/0
8170750	0/0	0/1	0/5	1/8
8622000	0/0	0/0	0/0	0/29
8861500	0/4	0/9	0/6	0/0
8869250	0/6	0/3	0/16	0/0
10224750	3/39	0/5	2/24	2/30
10229250	0/27	0/43	2/37	6/81
10302500	16/58	4/65	2/26	0/10
10546500	0/0	0/1	0/0	0/4
1110750	2/25	5/16	0/3	1/36
12015000	0/19	2/15	0/32	4/59
12173500	11/63	5/71	24/149	14/83
12388250	0/21	0/24	2/56	0/67
1971500	9/265	8/239	12/243	4/114
2626250	0/8	1/31	1/14	0/4
3963750	5/186	11/312	3/54	8/141
434750	4/47	5/57	4/59	5/30
5220750	0/8	0/1	7/77	0/79
5254500	4/53	0/76	4/101	7/174
5948500	0/29	0/28	0/4	0/0
6067750	0/0	0/1	1/8	0/2
6571000	4/38	3/86	2/80	5/159
6849750	4/83	8/100	5/112	0/37
6977000	0/0	0/1	0/0	0/3
7703750	1/99	1/46	4/61	8/151
8149250	3/132	0/132	7/375	1/253
8757750	0/0	0/0	2/25	2/78
9288000	1/2	0/41	1/37	1/48
10696000	1/14	7/105	3/29	2/47
11391250	0/0	0/8	0/2	5/25
1661750	2/110	3/107	0/69	6/86
1832000	0/0	0/0	0/17	3/85
2771250	0/55	5/119	3/81	2/169
2852250	0/108	0/30	0/97	2/81
3001000	0/0	4/4	1/1	1/1
3211250	4/53	13/125	4/38	1/40
3581250	6/84	2/80	4/58	1/61
4256500	0/12	0/13	2/59	0/47
5034000	0/87	0/35	2/123	0/205
5901250	0/27	0/13	0/30	4/105
6257000	1/8	0/17	2/15	9/37
6996000	2/28	0/3	0/3	1/29
9720000	0/51	1/39	1/71	1/91
10057000	0/21	0/15	0/7	0/3
11362000	5/79	2/86	0/3	1/26
11687000	0/1	2/25	0/1	0/4
11847750	0/0	1/11	0/10	0/1
12008000	0/5	1/11	2/37	4/64
12215000	3/191	4/481	3/294	2/292
1969000	0/0	3/67	4/87	2/72
2132250	0/1	0/0	1/8	0/8
3089500	0/0	0/0	0/0	1/13
3552000	0/0	0/0	0/1	0/1
4770500	7/162	6/185	7/183	4/138
4809750	0/8	0/12	1/40	1/19
7002750	0/23	3/27	0/10	0/3
799000	1/53	5/68	0/50	4/65
8102000	0/1	0/4	1/24	2/25
8666500	0/18	0/5	0/1	0/38
9035750	2/2	6/6	6/6	7/7
9163000	5/128	2/120	2/55	2/27
9244000	14/252	3/152	3/104	1/60
1046250	0/60	3/42	2/52	0/28
10768750	0/4	1/21	1/6	2/46
10927500	0/0	0/0	0/0	0/6
11046750	0/0	0/0	0/1	1/11
11339250	0/1	0/0	0/0	1/9
12027000	1/1	0/0	1/1	1/1
1904750	0/0	0/0	0/0	3/90
1906000	6/177	11/97	4/83	3/42
